variable,label,type,value_labels,n_value_labels,n_2006,n_2009,n_2012,n_2015,n_2024,source,versions,label_variants,value_label_conflicts
s13_05_2,What do you use to wash your hands after visiting toilet or at any other time?,int8,"1=Water only, 2=Water and homemade soap, 3=Water and washing soap, 4=Other",4,0,0,0,6733,0,,,,
s13_06,Does the woman presen any disability the prevents her from being measured? If ye,int8,"0=No, 1=Yes, Affecting MUAC, 2=Yes, Affecting Weight and height",3,0,0,0,6755,0,,,,
bmi,Body mass index,double,,0,0,0,0,6220,0,,,,
s13_06_2,[name]'s MUAC in mm,int16,,0,0,0,0,6708,0,,,,
s13_06_3,[name]'s height in Cm,double,,0,0,0,0,6220,0,,,,
s13_06_4,[name]'s weight in Cm,double,,0,0,0,0,6222,0,,,,
s13_03_2,Are you currently pregnant or breastfeeding,int8,"1=Pregnant only, 2=Both (pregnant and lactating), 3=Lactating only, 4=Neither, 88=Don't know",5,0,0,0,4913,0,,,,
beans_nuts,"Any foods made from beans, peas, or lentils, nuts or seeds",int8,,0,0,0,0,6768,0,,,,
fruits_vegetables,Any other fruits or vegetables,int8,,0,0,0,0,6768,0,,,,
as13_07,Any starchy staple foods,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,6767,0,,,,
ds13_07,Milk or other dairy products,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,6768,0,,,,
es13_07,"Any flesh food such as fresh or dried fish, shellfish, or seafood, beef, pork, l",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,6767,0,,,,
fs13_07,Eggs,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,6768,0,,,,
gs13_07,Any dark green leafy vegetables,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,6767,0,,,,
hs13_07,Orange fruits and vegetables,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,6765,0,,,,
ks13_07,Super Cereal / CSB+,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,6683,0,,,,
bs13_07,"Any foods made from beans, peas, or lentils",int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,6766,0,,,,
cs13_07,Any foods made from nuts or seeds,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,6767,0,,,,
is13_07,Any other vegetables,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,6768,0,,,,
js13_07,Any other fruits,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,6767,0,,,,
muac_groups,,int8,"1=severely wasted, 2=wasted, 3=normal",3,0,0,0,6708,0,,,,
filter__,S13_03_2 = 1 or S13_03_2 =2 (FILTER),int8,"0=Not Selected, 1=Selected",2,0,0,0,4913,0,,filter___v2 (2012),,
wdds,,int8,,0,0,0,0,6768,0,,,,
stunted_women,,int8,"0=Non-stunted, 1=Stunted",2,0,0,0,6220,0,,,,
underweight_women,,int8,"0=Non-underweight, 1=Underweight",2,0,0,0,6222,0,,,,
nwdds,Percentile Group of WDDS,int8,,0,0,0,0,6768,0,,,,
s12_01_3,S12_01_3 Woman's age,int8,,0,0,0,0,0,6891,,,,
s12_01_4,S12_01_4 Woman's literacy level,int8,"0=No, 1=Yes (both read and write), 2=Yes (read only)",3,0,0,0,0,6891,,,,
s12_01_5,S12_01_5 Woman's education level,int8,"1=No school, 2=Some/still primary, 3=Completed primary, 4=Vocational school, 5=Some/still secondary …",9,0,0,0,0,6891,,,,
s12_02,S12_02 Is [WOMEN_NAME] currently present for interview?,int8,"0=No, 1=Yes",2,0,0,0,0,6891,,,,
s12_03,S12_03 Are you currently using any contraceptive methods?,int8,"0=No, 1=Yes",2,0,0,0,0,6891,,,,
s12_03_2,S12_03_2 Which method do you use?,int8,"1=Cervical mucus, 2=Beads, 3=Pills, 4=Condom, 5=Injectables …",10,0,0,0,0,3674,,,,
s12_03_3,S12_03_3 Specfy other methods,string,,0,3671,6252,7456,6768,6891,,,,
s12_04,S12_04 Have you ever been pregnant and gave birth at least once?,int8,"0=Never been pregnant, 1=Never gave birth but been pregnant, 2=Yes (was pregnant and gave brith), 88=Don't know",4,0,0,0,0,6891,,,,
s12_05,S12_05 Are you currently pregnant?,int8,"0=No, 1=Yes, 88=Don't know",3,0,0,0,0,5363,,,,
s12_05_0,S12_05_0 Are you currently breastfeeding?,int8,"0=No, 1=Yes",2,0,0,0,0,5363,,,,
s12_05_1,S12_05_1 Do you have a child growth card?,int8,"0=No, 1=Yes",2,0,0,0,0,1643,,,,
s12_05_1_1,"S12_05_1_1 If yes, Is the card filled with some information?",int8,"0=No, 1=Yes",2,0,0,0,0,281,,,,
s12_05_1_2,S12_05_1_2 Who is in charge of this scorecard?,int8,"1=Village leader, 2=Community health worker, 3=Friends of family, 21=Other",4,0,0,0,0,281,,,,
s12_05_1_2_0,S12_05_1_2_0 Other,string,,0,3671,6252,7456,6768,6891,,,,
s12_05_1_3,S12_05_1_3 Does having this form add anything to your child's growth?,int8,"1=Yes, 2=No, 3=No change, 4=Don't know",4,0,0,0,0,281,,,,
s12_05_2,S12_05_2 Are you enrolled in the shisha kibondo / mubyeyi program?,int8,"0=No, 1=Yes",2,0,0,0,0,2463,,,,
s12_06,"S12_06 During your last pregnancy, have you ever been visited by a community hea",int8,"0=No, 1=Yes",2,0,0,0,0,5363,,,,
s12_07,S12_07 During the first 6 weeks that s/he was born (the child that you're curren,int8,"0=No, 1=Yes",2,0,0,0,0,2463,,,,
s12_08,S12_08 Did you see anyone for antenatal care for this/the recent pregnancy?,int8,"0=No, 1=Yes",2,0,0,0,0,5363,,,,
s12_08_2,S12_08_2 Where did you receive antenatal care for this/the recent pregnancy?,string,,0,3671,6252,7456,6768,6891,,,,
s12_08_2_1,S12_08_2/Public health care provider (at health center or hospital),int8,,0,0,0,0,0,5225,,,,
s12_08_2_2,S12_08_2/Private health care provider (at health center or hospital),int8,,0,0,0,0,0,5225,,,,
s12_08_2_3,S12_08_2/Other (speficy),int8,,0,0,0,0,0,5225,,,,
s12_08_3,S12_08_3 How many months pregnant were you when you first received antenatal car,int8,,0,0,0,0,0,5225,,,,
s12_09,S12_09 How many antenatal care visits did you attend during your recent born pre,int8,,0,0,0,0,0,5222,,,,
s12_10,"S12_10 During your recent pregnancy, did you take any iron supplements?",int8,"0=No, 1=Yes",2,0,0,0,0,5363,,,,
s12_10_0,S12_10_0 Pregnant Women are usually given iron pills. Which are you enrolled to?,int8,"1=90 iron rich pills, 2=MMS",2,0,0,0,0,3651,,,,
s12_10_2,S12_10_2 How many of those did you take?,int8,"1=All of them (90 pills), 2=More than a half (50 - 75 pills), 3=About a half (35 - 45 pills), 4=Less than a half (<35 pills), 5=None",5,0,0,0,0,4143,,,,
s12_11,S12_11 Have you ever received any counselling or education on nutrition?,int8,"0=No, 1=Yes",2,0,0,0,0,6891,,,,
s12_11_2,S12_11_2 Who provided this counseling or education on nutrition?,string,,0,3671,6252,7456,6768,6891,,,,
s12_11_2_1,S12_11_2/Health care worker (CHW),int8,,0,0,0,0,0,3290,,,,
s12_11_2_2,S12_11_2/Heath facility worker,int8,,0,0,0,0,0,3290,,,,
s12_11_2_3,S12_11_2/NGO worker,int8,,0,0,0,0,0,3290,,,,
s12_11_2_4,S12_11_2/Mothers in the community,int8,,0,0,0,0,0,3290,,,,
s12_11_2_5,S12_11_2/Local authorities,int8,,0,0,0,0,0,3290,,,,
s12_11_2_6,"S12_11_2/Media (such as radio, tv, newspaper or drama",int8,,0,0,0,0,0,3290,,,,
s12_11_2_7,S12_11_2/Other channels,int8,,0,0,0,0,0,3290,,,,
s12_12,S12_12 Did you sleep under a mosquito net last night?,int8,"0=No, 1=Yes",2,0,0,0,0,6891,,,,
s12_14,S12_14 Tell me all the times you wash hands,string,,0,3671,6252,7456,6768,6891,,,,
s12_14_1,S12_14/Before preparing meals,int8,,0,0,0,0,0,6891,,,,
s12_14_2,S12_14/After cleaning a child from toilet,int8,,0,0,0,0,0,6891,,,,
s12_14_3,S12_14/Before eating,int8,,0,0,0,0,0,6891,,,,
s12_14_4,S12_14/Whenever their dirty,int8,,0,0,0,0,0,6891,,,,
s12_14_5,S12_14/After visiting toilet,int8,,0,0,0,0,0,6891,,,,
s12_14_6,S12_14/Other,int8,,0,0,0,0,0,6891,,,,
s12_14_88,S12_14/Never,int8,,0,0,0,0,0,6891,,,,
s12_14_20,"S12_14_2 The last time you washed your hands, what did you use?",int8,"1=Water only, 2=Water and homemade soap, 3=Water and washing soap, 4=Other",4,0,0,0,0,6872,,,,
s12_15,S12_15 Does the woman present any disability the prevents her from being measure,int8,"0=No, 1=Yes",2,0,0,0,0,6891,,,,
s12_16,S12_16 [name]'s MUAC in mm,int16,,0,0,0,0,0,6838,,,,
as12_17,"AS12_17 Foods made from grains (Porridge, bread, rice, pasta/noodles or other fo",int8,"0=No, 1=Yes",2,0,0,0,0,6891,,,,
bs12_17,"BS12_17 White roots and tubers and plantains (White potatoes, white yams, manioc",int8,"0=No, 1=Yes",2,0,0,0,0,6891,,,,
cs12_17,"CS12_17 Pulses (beans, peas and lentils) (Mature beans or peas (fresh or dried s",int8,"0=No, 1=Yes",2,0,0,0,0,6891,,,,
ds12_17,"DS12_17 Nuts and seeds (Any tree nut, groundnut/peanut or certain seeds, or nut/",int8,"0=No, 1=Yes",2,0,0,0,0,6891,,,,
es12_17,"ES12_17 Milk and milk products (Milk, cheese, yoghurt or other milk products but",int8,"0=No, 1=Yes",2,0,0,0,0,6891,,,,
gs12_17,"GS12_17 Organ meat (Liver, kidney, heart or other organ meats or blood-based foo",int8,"0=No, 1=Yes",2,0,0,0,0,6891,,,,
hs12_17,"HS12_17 Meat and poultry (Beef, pork, lamb, goat, rabbit, wild game meat, chicke",int8,"0=No, 1=Yes",2,0,0,0,0,6891,,,,
is12_17,"IS12_17 Fish and seafood (Fresh or dried fish, shellfish or seafood )",int8,"0=No, 1=Yes",2,0,0,0,0,6891,,,,
js12_17,JS12_17 Eggs (Eggs from poultry or any other bird ),int8,"0=No, 1=Yes",2,0,0,0,0,6891,,,,
ks12_17,KS12_17 Dark green leafy vegetables (List examples of any medium-to-dark green l,int8,"0=No, 1=Yes",2,0,0,0,0,6891,,,,
ls12_17,"LS12_17 Vitamin A-rich vegetables, roots and tubers (Pumpkin, carrots, squash or",int8,"0=No, 1=Yes",2,0,0,0,0,6891,,,,
ms12_17,"MS12_17 Vitamin A-rich fruits (Ripe mango, ripe papaya, Gauva, Watermelon)",int8,"0=No, 1=Yes",2,0,0,0,0,6891,,,,
ns12_17,NS12_17 Other vegetables (),int8,"0=No, 1=Yes",2,0,0,0,0,6891,,,,
os12_17,OS12_17 Other fruits (),int8,"0=No, 1=Yes",2,0,0,0,0,6891,,,,
ps12_17,PS12_17 Shisha Kibondo/ Mubyeyi,int8,"0=No, 1=Yes",2,0,0,0,0,6891,,,,
qs12_17,"QS12_17 Any fortified blended foods (Nootri-mama, Nootri family, Sosoma)",int8,"0=No, 1=Yes",2,0,0,0,0,6891,,,,
mddwless5,MDD-Women,int8,"1=<5 food groups, 2=5 food groups or more",2,0,0,0,0,6891,,,,
dup,,int8,,0,0,0,0,0,6891,,,,
