variable,label,type,value_labels,n_value_labels,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,n_2024,n_2025,source_by_year,version_years,other_versions,label_variants,value_label_conflicts
c20a,How soon Does  [NAME] expect  to start  working in  this new job or  business ?,int8,"1=One month or less, 2=More than 1 month up to 3 months, 3=More than 3 months, 4=Do not know",4,0,0,0,0,0,0,0,148,180,,,,,
c21a_v3,[2024-2024 version] Apply to prospective Employers,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,0,5909,0,,2024,"c21a (2018–2021), c21a_v2 (2017–2019)",,
c21b_v3,[2024-2024 version] Place or Answer Job Advertisement,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,0,5909,0,,2024,"c21b (2018–2021), c21b_v2 (2017–2019)",,
c21c_v3,[2024-2024 version] Post/Update resume on professional/Social networking sites o,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,0,5909,0,,2024,"c21c (2018–2021), c21c_v2 (2017–2019)",,
c21e_v2,[2024-2024 version] Take a test or Interview,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,0,5909,0,,2024,c21e (2018–2021),,
c21f_v2,"[2024-2024 version] Seek help from Relatives,friends,Others",int8,"1=Yes, 2=No",2,0,0,0,0,0,0,0,5909,0,,2024,c21f (2018–2021),,
c21g_v2,[2024-2024 version] Check at Factories worksite,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,0,5909,0,,2024,c21g (2018–2021),,
c21h_v2,[2024-2024 version] Wait on the street to be recruited,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,0,5949,0,,2024,c21h (2018–2021),,
c21i,Seek Financial help to start a business,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,0,5949,0,,,,,
c21j,"Look for land,building,equipment,Materials to start a business",int8,"1=Yes, 2=No",2,0,0,0,0,0,0,0,5949,0,,,,,
c21k,Apply for permit or licence to start a business        street to be recruited,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,0,5949,0,,,,,
c21l_v2,[2024-2024 version] No Method,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,0,5909,0,,2024,c21l (2018–2021),,
c21m,"Other,specify",int8,,0,0,0,0,0,0,0,0,5949,0,,,,,
d05a,How many persons including  you at your work place?,int8,"1=Less than 10, 2=10-30 workers, 3=31-50 workers, 4=51-100 workers, 5=101 workers or more",5,0,0,0,0,0,0,0,33594,34712,,,,,
d05a1,"Number of  persons including  you at your work place,Less than 10",int8,,0,0,0,0,0,0,0,0,28328,29559,,,,,
d21a,What kind of accounts or records deos the (busines/farm) keep?,int8,"1=A complete set of written Accounts for Tax purpose, 2=Simplified written Accounts to be  submitted fot tax purposes, 3=Simplified written accounts not for tax purposes, 4=Informal records of orders,sales and purchases, 5=No records are kept",5,0,0,0,0,0,0,0,4797,5314,,,,,"{""2"": ["" Simplified written accounts to be submitted for tax purposes"", ""Simplified written Accounts to be  submitted fot tax purposes""]}"
d23a,What means of transportation do you mainly use to commute to your place of work?,int8,"1=Walk, 2=Public buses/Cars/taxis, 3=Public motocycle, 4=Publc bicycle, 5=Private car, 6=Private motobike …",9,0,0,0,0,0,0,0,30310,31256,,,,,"{""6"": [""Private Employer's car"", ""Private motobike""], ""7"": [""Private bicycle"", ""Private motobike""], ""8"": [""Boat"", ""Private bicycle""]}"
d23b,How long does it normally take you to get to work?,int16,,0,0,0,0,0,0,0,0,30310,31256,,,,,
d25a,Is this District the same as the District where (Name) performs his/her main job,int8,"1=Yego, 2=Oya",2,0,0,0,0,0,0,0,33594,34712,,,,,"{""1"": [""Yego"", ""Yes""], ""2"": [""No"", ""Oya""]}"
d25b,In which district do (You/Name) mainly perform this work?,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",31,0,0,0,0,0,0,0,3006,3000,,,,,
en01,main source of energy that your household uses for lighting?,int8,"1=Electricity from National Grid (EUCL, 2=Electricity from Mini Grid(Other distributors), 3=Private Solar Mini Grid, 4=Standalone solar system, 5=Solar lantern, 6=Rechargeable lantern …",16,0,0,0,0,0,0,0,102562,100852,,,,,
en01_others,Main source of energy Others,string,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,,,,,
b13b,In which year did (Name) complete this course?,int16,,0,0,0,0,0,0,0,0,0,7540,,,,,
b15_v2,[2025-2025 version] How long did take(Name) to get a job or start own business a,int8,"1=Less than one month, 2=1-3 Months, 3=3-6 Months, 4=One year, 5=Two years, 6=Three years or more",6,0,0,0,0,0,0,0,0,4538,,2025,b15 (2017–2021),,
c02a,"During the past 7 days, did (NAME) run or do any farming, Rearing farm animals,",int8,"1=Yes, 2=No",2,0,0,0,0,0,0,0,0,35181,,,,,
d05_v2,[2025-2025 version] Status of employment according to ICSE-93,int8,"1=Employee, 3=Employer, 4=Own account worker, 5=Member of cooperative, 6=Contributing family worker",5,0,0,0,0,0,0,0,0,34181,,2025,d05 (2017–2024),,
d08a,Does [NAME] have a minimum amount of hours or work agreed with his/her employer?,int8,"1=Yes,minimum hours to be worked, 2=Yes,tasks or work to do, 3=No, contacted when needed",3,0,0,0,0,0,0,0,0,16027,,,,,
d10,Has [NAME] registered his/her economic activity with the Rwanda Revenue Authorit,int8,"1=Yes, 2=No, 3=Don't know",3,0,0,0,0,0,0,0,0,2010,,,,,
d10_e,Does (name) make contributions to the Ejo Heza scheme?,string,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,,,,,
d12_1,How much money did (Name) earn from his/her main job/business the last time ?,int8,"1=Amount(Rwf), 2=Refusal, 3=Don't Know",3,0,0,0,0,0,0,0,0,22465,,,,,
d12_1a,Amount in Rwandan francs,string,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,,,,,
d13_1,How long did it cover?,int8,"1=Month, 2=Two weeks, 3=One week, 4=One day, 5=One year",5,0,0,0,0,0,0,0,0,21641,,,,,
d14_1,"On average, how much money did (NAME) earn from main job/business per month?",int8,"1=Amount, 2=Refusal, 3=Don't Know",3,0,0,0,0,0,0,0,0,11174,,,,,
d14_1a,Amount in Rwandan francs,string,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,,,,,
d17_1,Would you say that monthly amount earned the last time  in  (Name) ?s  job/busin,int8,"1=Less than30,000 RWF, 2=30,000 - 49,999 RWF, 3=50,000 - 79,999 RWF, 4=80,000 - 99,999 RWF, 5=100,000 -199,999 RWF, 6=200,000 - 399,999 RWF …",10,0,0,0,0,0,0,0,0,1853,,,,,
d18a,How did (you/name) obtain your current employment?,int8,"1=Apply to prospective Employers, 2=Place or Answer Job Advertisement, 3=Post/Update resume on professional/Social networking sites online, 4=Register with Public  Employment center, 5=Register with Private  Employment center, 6=Take a test or Interview …",13,0,0,0,0,0,0,0,0,22411,,2025,d18a_v2 (2017–2017),,
d18a_other,D18A_ obtain your current employment?,string,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,,,,,
d24b,"In your main job or business, how many months do you typically work in a year?",int8,,0,0,0,0,0,0,0,0,0,34712,,,,,
ds07,(Do/Does) (You/Name) work...?,int8,"1=As an [employee], 2=In(your/his/her) own business activity, 3=Helping a family or household business, 4=As a paid apprentice,paid intern, 5=Helping a family member who works for someone else, 6=member of cooperative",6,0,0,0,0,0,0,0,0,34712,,,,,
ds08,Who usually makes the decisions about the running of the family/household busine,int8,"1=You/Name, 2=(You/Name) together with others, 3=Other family member(s) only, 4=other(non-related) person(s) only",4,0,0,0,0,0,0,0,0,1232,,,,,
ds09,Does the business hire/have any paid employees on a regular basis?,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,0,0,11174,,,,,
ds09aa,Is (NAME)'s business registered with RDB?,int8,"1=Yes, 2=No, 97=Don't know",3,0,0,0,0,0,0,0,0,11174,,,,,
ds09aaa,Is (Name)'s business registered as....?,int8,"1=Sole proprietoship/individual, 2=Limited by shares, 3=Limited by guarantee, 4=Limited by shares and guarantee, 5=Unlimited, 6=Don't Know",6,0,0,0,0,0,0,0,0,1512,,,,,
ds09_a,Does more than half of the income from [NAME]?s business/activity come from ?.?,int8,"1=One single client/customer, 2=Multiple clients/customers, 3=Have not had any client",3,0,0,0,0,0,0,0,0,10571,,,,,
ds09_b,"Does [NAME] get customers, clients or buyers through someone else, for example f",int8,"1=Yes,all of them, 2=Yes, most of them, 3=Yes,but only some of them, 4=No",4,0,0,0,0,0,0,0,0,9845,,,,,
ds09_c,In this business /activity Does [NAME]??,string,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,,,,,
ds09_d,In [NAME]?s business/activity does client/company/intermediary/or other person??,string,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,,,,,
ds10a,Which of the following types of pay (do/does) (you/name) receive for this work?,string,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,,,,,
f01a,"(Have/Has) (you/name) ever had a paid job or another income-generating activity,",int8,"1=Yes, 2=No",2,0,0,0,0,0,0,0,0,31009,,,,,
f01b,How long ago was it that(you/name) last stop working?,int8,"1=Lest than one month ago, 2=1 to less than 3 months ago, 3=3 to less than 6 months ago, 4=6 to less than 12 months ago, 5=1 to less than 3 years ago, 6=3 to less than 5 years ago …",9,0,0,0,0,0,0,0,0,15303,,,,,
icse18a,5 Main categories of Status in employment by type of authority,int8,"1=1-Employers, 2=2-Independent worker without employees, 3=3-Dependent contractors, 4=4-Employees, 5=5-Contributing family workers, 9=9-Employed not classifiable by status",6,0,0,0,0,0,0,0,0,34712,,,,,
